Sample	avg_quality	dinucleotide_repeats	mononucleotide_repeats
1np_f11b1	33.251858117	0.0	0.0
1np_f9g4	31.1043274554	0.0	0.0
1np_f11d2	33.1106962607	0.0	0.0
1np_f12e5	32.5810120951	0.0	0.0
1np_f13f2	37.5194900535	0.0	0.0
1np_f16d7	37.1388981473	0.0	0.0
1np_f12e6	32.5905838993	0.0	0.0
1np_f14f6	37.0676927298	0.0	0.0
1np_f14b7	37.3746263431	0.0	0.0
1np_f8a6	32.991092117	0.0	0.0
1np_f9f4	32.1346363454	0.0	0.0
1np_f17d3	36.6195927759	0.0	0.0
1np_f11f6	33.0302473414	0.0	0.0
1np_f6e4	37.8554346129	0.0	0.0
1np_f10c6	36.905183754	0.0	0.0
1np_f11a1	32.9191790195	0.0	0.0
1np_f17b7	36.8268996114	0.0	0.0
1np_f15e3	29.2133844286	0.0	0.0
1np_f8d4	33.2875877653	0.0	0.0
1np_f17b4	35.6325451413	0.0	0.0
1np_f7b3	37.6735665356	0.0	0.0
1np_f11c2	33.0236509786	0.0	0.0
1np_f9e3	32.1976319482	0.0	0.0
1np_f17e2	36.7621582005	0.0	0.0
1np_f7g2	36.9907759	0.0	0.0
1np_f7c4	37.1783768802	0.0	0.0
1np_f8b2	32.8763008568	0.0	0.0
1np_f9b3	30.1215241449	0.0	0.0
1np_f12a1	31.9476290544	0.0	0.0
1np_f13b2	37.6006651131	0.0	0.0
1np_f16d4	35.680430245	0.0	0.0
1np_f6d4	37.5168388324	0.0	0.0
1np_f18a4	37.0061289484	0.0	0.0
1np_f15c6	35.5312218662	0.0	0.0
1np_f16b6	37.3589226836	0.0	0.0
1np_f18d3	30.5260700712	0.0	0.0
1np_f13a6	37.2721586079	0.0	0.0
1np_f8d2	32.3917990539	0.0	0.0
1np_f7c6	37.4963866628	0.0	0.0
1np_f7e5	37.7359170337	0.0	0.0
1np_f16a4	37.2156011563	0.0	0.0
1np_f16e2	36.4814226059	0.0	0.0
1np_f7f5	37.4879547605	0.0	0.0
1np_f7d3	37.8033895458	0.0	0.0
1np_f17e1	37.4577789587	0.0	0.0
1np_f5b2	36.6794540682	0.0	0.0
1np_f14g6	37.7461117131	0.0	0.0
1np_f10d4	36.5845132385	0.0	0.0
1np_f13a5	36.8667367167	0.0	0.0
1np_f12a2	33.0567375722	0.0	0.0
1np_f16a6	37.4046093232	0.0	0.0
1np_f9f2	32.5356214306	0.0	0.0
1np_f17d5	37.1045711148	0.0	0.0
1np_f12a4	32.4212910566	0.0	0.0
1np_f12b6	33.3715477708	0.0	0.0
1np_f14a7	37.5211513915	0.0	0.0
1np_f15g5	36.6592414142	0.0	0.0
1np_f11e1	32.651584894	0.0	0.0
1np_f9c1	31.7604950044	0.0	0.0
1np_f17d4	37.3024542923	0.0	0.0
1np_f9f3	32.3492438451	0.0	0.0
1np_f13f5	32.6775625036	0.0	0.0
1np_f12d6	33.0353890453	0.0	0.0
1np_f15e8	36.5856771183	0.0	0.0
1np_f6g2	37.7015666186	0.0	0.0
1np_f14f1	37.5556426647	0.0	0.0
1np_f14b3	37.5818786223	0.0	0.0
1np_f9a4	31.7907925634	0.0	0.0
1np_f11a3	32.8027086848	0.0	0.0
1np_f10f2	32.3142900067	0.0	0.0
1np_f18e4	36.631631792	0.0	0.0
1np_f16c7	35.9552133987	0.0	0.0
1np_f10g4	37.5466887917	0.0	0.0
1np_f8d3	33.2607258272	0.0	0.0
1np_f15e1	36.7974332944	0.0	0.0
1np_f17b5	37.1959711764	0.0	0.0
